Sample Name, Recombined Chromosome, Recombination Start Site (bp),, Recombination Event Length (bp),
MAY156.GT,Ca21chr7_C_albicans_SC5314,726085,Ca21chr7_C_albicans_SC5314:726085,2968,
MAY158.GT,Ca21chr7_C_albicans_SC5314,726085,Ca21chr7_C_albicans_SC5314:726085,2968,
MAY158.GT,Ca21chr4_C_albicans_SC5314,772395,Ca21chr4_C_albicans_SC5314:772395,2998,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1396553,Ca21chrR_C_albicans_SC5314:1396553,3009,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1396553,Ca21chrR_C_albicans_SC5314:1396553,3009,
MAY154.GT,Ca21chr1_C_albicans_SC5314,347729,Ca21chr1_C_albicans_SC5314:347729,3019,
MAY155.GT,Ca21chr1_C_albicans_SC5314,347729,Ca21chr1_C_albicans_SC5314:347729,3019,
MAY156.GT,Ca21chr1_C_albicans_SC5314,347729,Ca21chr1_C_albicans_SC5314:347729,3019,
MAY157.GT,Ca21chr6_C_albicans_SC5314,996349,Ca21chr6_C_albicans_SC5314:996349,3028,
MAY154.GT,Ca21chr2_C_albicans_SC5314,2068896,Ca21chr2_C_albicans_SC5314:2068896,3050,
MAY154.GT,Ca21chr3_C_albicans_SC5314,888663,Ca21chr3_C_albicans_SC5314:888663,3060,
MAY156.GT,Ca21chr3_C_albicans_SC5314,888663,Ca21chr3_C_albicans_SC5314:888663,3060,
MAY154.GT,Ca21chr3_C_albicans_SC5314,3066,Ca21chr3_C_albicans_SC5314:3066,3066,
MAY155.GT,Ca21chr3_C_albicans_SC5314,3066,Ca21chr3_C_albicans_SC5314:3066,3066,
MAY156.GT,Ca21chr3_C_albicans_SC5314,3066,Ca21chr3_C_albicans_SC5314:3066,3066,
MAY158.GT,Ca21chr3_C_albicans_SC5314,3066,Ca21chr3_C_albicans_SC5314:3066,3066,
MAY157.GT,Ca21chr5_C_albicans_SC5314,392652,Ca21chr5_C_albicans_SC5314:392652,3082,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2939201,Ca21chr1_C_albicans_SC5314:2939201,3103,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2939201,Ca21chr1_C_albicans_SC5314:2939201,3103,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2939201,Ca21chr1_C_albicans_SC5314:2939201,3103,
MAY155.GT,Ca21chr7_C_albicans_SC5314,281003,Ca21chr7_C_albicans_SC5314:281003,3106,
MAY156.GT,Ca21chr7_C_albicans_SC5314,281003,Ca21chr7_C_albicans_SC5314:281003,3106,
MAY157.GT,Ca21chr7_C_albicans_SC5314,281003,Ca21chr7_C_albicans_SC5314:281003,3106,
MAY158.GT,Ca21chr5_C_albicans_SC5314,898614,Ca21chr5_C_albicans_SC5314:898614,3138,
MAY154.GT,Ca21chr1_C_albicans_SC5314,2279802,Ca21chr1_C_albicans_SC5314:2279802,3152,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2279802,Ca21chr1_C_albicans_SC5314:2279802,3152,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2279802,Ca21chr1_C_albicans_SC5314:2279802,3152,
MAY154.GT,Ca21chrR_C_albicans_SC5314,539556,Ca21chrR_C_albicans_SC5314:539556,3160,
MAY155.GT,Ca21chrR_C_albicans_SC5314,539556,Ca21chrR_C_albicans_SC5314:539556,3160,
MAY156.GT,Ca21chrR_C_albicans_SC5314,539556,Ca21chrR_C_albicans_SC5314:539556,3160,
MAY158.GT,Ca21chrR_C_albicans_SC5314,539556,Ca21chrR_C_albicans_SC5314:539556,3160,
MAY154.GT,Ca21chr7_C_albicans_SC5314,722901,Ca21chr7_C_albicans_SC5314:722901,3184,
MAY156.GT,Ca21chr7_C_albicans_SC5314,722901,Ca21chr7_C_albicans_SC5314:722901,3184,
MAY158.GT,Ca21chr7_C_albicans_SC5314,722901,Ca21chr7_C_albicans_SC5314:722901,3184,
MAY157.GT,Ca21chr3_C_albicans_SC5314,1265702,Ca21chr3_C_albicans_SC5314:1265702,3192,
MAY158.GT,Ca21chr5_C_albicans_SC5314,968558,Ca21chr5_C_albicans_SC5314:968558,3192,
MAY155.GT,Ca21chr7_C_albicans_SC5314,722901,Ca21chr7_C_albicans_SC5314:722901,3198,
MAY157.GT,Ca21chr7_C_albicans_SC5314,722901,Ca21chr7_C_albicans_SC5314:722901,3198,
MAY158.GT,Ca21chr2_C_albicans_SC5314,473816,Ca21chr2_C_albicans_SC5314:473816,3199,
MAY155.GT,Ca21chrR_C_albicans_SC5314,2041820,Ca21chrR_C_albicans_SC5314:2041820,3223,
MAY155.GT,Ca21chrR_C_albicans_SC5314,2045374,Ca21chrR_C_albicans_SC5314:2045374,3230,
MAY157.GT,Ca21chrR_C_albicans_SC5314,11797,Ca21chrR_C_albicans_SC5314:11797,3246,
MAY155.GT,Ca21chr3_C_albicans_SC5314,888473,Ca21chr3_C_albicans_SC5314:888473,3250,
MAY157.GT,Ca21chr3_C_albicans_SC5314,888473,Ca21chr3_C_albicans_SC5314:888473,3250,
MAY158.GT,Ca21chr2_C_albicans_SC5314,342746,Ca21chr2_C_albicans_SC5314:342746,3250,
MAY154.GT,Ca21chr1_C_albicans_SC5314,353174,Ca21chr1_C_albicans_SC5314:353174,3260,
MAY155.GT,Ca21chr1_C_albicans_SC5314,353174,Ca21chr1_C_albicans_SC5314:353174,3260,
MAY156.GT,Ca21chr1_C_albicans_SC5314,353174,Ca21chr1_C_albicans_SC5314:353174,3260,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1253780,Ca21chr1_C_albicans_SC5314:1253780,3271,
MAY158.GT,Ca21chr5_C_albicans_SC5314,647882,Ca21chr5_C_albicans_SC5314:647882,3273,
MAY157.GT,Ca21chr6_C_albicans_SC5314,193961,Ca21chr6_C_albicans_SC5314:193961,3286,
MAY154.GT,Ca21chrR_C_albicans_SC5314,536396,Ca21chrR_C_albicans_SC5314:536396,3337,
MAY155.GT,Ca21chrR_C_albicans_SC5314,536396,Ca21chrR_C_albicans_SC5314:536396,3337,
MAY156.GT,Ca21chrR_C_albicans_SC5314,536396,Ca21chrR_C_albicans_SC5314:536396,3337,
MAY158.GT,Ca21chrR_C_albicans_SC5314,536396,Ca21chrR_C_albicans_SC5314:536396,3337,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1305349,Ca21chr2_C_albicans_SC5314:1305349,3352,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1326271,Ca21chrR_C_albicans_SC5314:1326271,3367,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1326271,Ca21chrR_C_albicans_SC5314:1326271,3367,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1326271,Ca21chrR_C_albicans_SC5314:1326271,3367,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1326271,Ca21chrR_C_albicans_SC5314:1326271,3367,
MAY157.GT,Ca21chr6_C_albicans_SC5314,214685,Ca21chr6_C_albicans_SC5314:214685,3387,
MAY155.GT,Ca21chr6_C_albicans_SC5314,193961,Ca21chr6_C_albicans_SC5314:193961,3409,
MAY154.GT,Ca21chr6_C_albicans_SC5314,517237,Ca21chr6_C_albicans_SC5314:517237,3428,
MAY155.GT,Ca21chr6_C_albicans_SC5314,517237,Ca21chr6_C_albicans_SC5314:517237,3428,
MAY156.GT,Ca21chr6_C_albicans_SC5314,517237,Ca21chr6_C_albicans_SC5314:517237,3428,
MAY157.GT,Ca21chr4_C_albicans_SC5314,1154234,Ca21chr4_C_albicans_SC5314:1154234,3444,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2282954,Ca21chr1_C_albicans_SC5314:2282954,3453,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2282954,Ca21chr1_C_albicans_SC5314:2282954,3453,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2353849,Ca21chr1_C_albicans_SC5314:2353849,3462,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1694967,Ca21chrR_C_albicans_SC5314:1694967,3494,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1101105,Ca21chr1_C_albicans_SC5314:1101105,3497,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1101105,Ca21chr1_C_albicans_SC5314:1101105,3497,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1101105,Ca21chr1_C_albicans_SC5314:1101105,3497,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1101105,Ca21chr1_C_albicans_SC5314:1101105,3497,
MAY154.GT,Ca21chr1_C_albicans_SC5314,714810,Ca21chr1_C_albicans_SC5314:714810,3515,
MAY155.GT,Ca21chr1_C_albicans_SC5314,714810,Ca21chr1_C_albicans_SC5314:714810,3515,
MAY156.GT,Ca21chr1_C_albicans_SC5314,714810,Ca21chr1_C_albicans_SC5314:714810,3515,
MAY158.GT,Ca21chr1_C_albicans_SC5314,714810,Ca21chr1_C_albicans_SC5314:714810,3515,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2785917,Ca21chr1_C_albicans_SC5314:2785917,3531,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2785917,Ca21chr1_C_albicans_SC5314:2785917,3531,
MAY158.GT,Ca21chr4_C_albicans_SC5314,794332,Ca21chr4_C_albicans_SC5314:794332,3563,
MAY154.GT,Ca21chr1_C_albicans_SC5314,148782,Ca21chr1_C_albicans_SC5314:148782,3629,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1137612,Ca21chrR_C_albicans_SC5314:1137612,3630,
MAY158.GT,Ca21chr3_C_albicans_SC5314,527899,Ca21chr3_C_albicans_SC5314:527899,3651,
MAY158.GT,Ca21chrR_C_albicans_SC5314,209805,Ca21chrR_C_albicans_SC5314:209805,3662,
MAY157.GT,Ca21chr1_C_albicans_SC5314,130397,Ca21chr1_C_albicans_SC5314:130397,3695,
MAY157.GT,Ca21chrR_C_albicans_SC5314,847188,Ca21chrR_C_albicans_SC5314:847188,3707,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1253780,Ca21chr1_C_albicans_SC5314:1253780,3708,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1253780,Ca21chr1_C_albicans_SC5314:1253780,3708,
MAY154.GT,Ca21chr2_C_albicans_SC5314,2071946,Ca21chr2_C_albicans_SC5314:2071946,3729,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1908718,Ca21chr1_C_albicans_SC5314:1908718,3842,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1908718,Ca21chr1_C_albicans_SC5314:1908718,3842,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1908718,Ca21chr1_C_albicans_SC5314:1908718,3842,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1384811,Ca21chrR_C_albicans_SC5314:1384811,3883,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1384811,Ca21chrR_C_albicans_SC5314:1384811,3883,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1384811,Ca21chrR_C_albicans_SC5314:1384811,3883,
MAY157.GT,Ca21chrR_C_albicans_SC5314,646604,Ca21chrR_C_albicans_SC5314:646604,3883,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1384811,Ca21chrR_C_albicans_SC5314:1384811,3883,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1357732,Ca21chr1_C_albicans_SC5314:1357732,3899,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1357735,Ca21chr1_C_albicans_SC5314:1357735,3902,
MAY157.GT,Ca21chr3_C_albicans_SC5314,570070,Ca21chr3_C_albicans_SC5314:570070,3905,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1337308,Ca21chr1_C_albicans_SC5314:1337308,3915,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1337308,Ca21chr1_C_albicans_SC5314:1337308,3915,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1337308,Ca21chr1_C_albicans_SC5314:1337308,3915,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1337308,Ca21chr1_C_albicans_SC5314:1337308,3915,
MAY154.GT,Ca21chr1_C_albicans_SC5314,875794,Ca21chr1_C_albicans_SC5314:875794,3919,
MAY156.GT,Ca21chr1_C_albicans_SC5314,875794,Ca21chr1_C_albicans_SC5314:875794,3919,
MAY158.GT,Ca21chr1_C_albicans_SC5314,875794,Ca21chr1_C_albicans_SC5314:875794,3919,
MAY157.GT,Ca21chr6_C_albicans_SC5314,1007632,Ca21chr6_C_albicans_SC5314:1007632,3978,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1230439,Ca21chr1_C_albicans_SC5314:1230439,4002,
MAY157.GT,Ca21chr6_C_albicans_SC5314,211298,Ca21chr6_C_albicans_SC5314:211298,4049,
MAY154.GT,Ca21chr7_C_albicans_SC5314,292374,Ca21chr7_C_albicans_SC5314:292374,4125,
MAY155.GT,Ca21chr3_C_albicans_SC5314,1182459,Ca21chr3_C_albicans_SC5314:1182459,4126,
MAY154.GT,Ca21chr1_C_albicans_SC5314,45384,Ca21chr1_C_albicans_SC5314:45384,4128,
MAY155.GT,Ca21chr1_C_albicans_SC5314,45384,Ca21chr1_C_albicans_SC5314:45384,4128,
MAY156.GT,Ca21chr1_C_albicans_SC5314,45384,Ca21chr1_C_albicans_SC5314:45384,4128,
MAY155.GT,Ca21chr7_C_albicans_SC5314,277728,Ca21chr7_C_albicans_SC5314:277728,4196,
MAY155.GT,Ca21chrR_C_albicans_SC5314,612288,Ca21chrR_C_albicans_SC5314:612288,4230,
MAY156.GT,Ca21chrR_C_albicans_SC5314,612288,Ca21chrR_C_albicans_SC5314:612288,4230,
MAY154.GT,Ca21chr1_C_albicans_SC5314,338856,Ca21chr1_C_albicans_SC5314:338856,4234,
MAY155.GT,Ca21chr1_C_albicans_SC5314,338856,Ca21chr1_C_albicans_SC5314:338856,4234,
MAY156.GT,Ca21chr1_C_albicans_SC5314,338856,Ca21chr1_C_albicans_SC5314:338856,4234,
MAY154.GT,Ca21chr3_C_albicans_SC5314,360096,Ca21chr3_C_albicans_SC5314:360096,4262,
MAY155.GT,Ca21chr3_C_albicans_SC5314,360096,Ca21chr3_C_albicans_SC5314:360096,4262,
MAY156.GT,Ca21chr3_C_albicans_SC5314,360096,Ca21chr3_C_albicans_SC5314:360096,4262,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1062303,Ca21chr1_C_albicans_SC5314:1062303,4312,
MAY157.GT,Ca21chrR_C_albicans_SC5314,531259,Ca21chrR_C_albicans_SC5314:531259,4314,
MAY155.GT,Ca21chr1_C_albicans_SC5314,4801,Ca21chr1_C_albicans_SC5314:4801,4432,
MAY156.GT,Ca21chr1_C_albicans_SC5314,4801,Ca21chr1_C_albicans_SC5314:4801,4432,
MAY157.GT,Ca21chr1_C_albicans_SC5314,4801,Ca21chr1_C_albicans_SC5314:4801,4432,
MAY158.GT,Ca21chr6_C_albicans_SC5314,193961,Ca21chr6_C_albicans_SC5314:193961,4487,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1661509,Ca21chr1_C_albicans_SC5314:1661509,4520,
MAY155.GT,Ca21chr1_C_albicans_SC5314,2286612,Ca21chr1_C_albicans_SC5314:2286612,4550,
MAY156.GT,Ca21chr1_C_albicans_SC5314,2286612,Ca21chr1_C_albicans_SC5314:2286612,4550,
MAY158.GT,Ca21chr2_C_albicans_SC5314,470617,Ca21chr2_C_albicans_SC5314:470617,4585,
MAY154.GT,Ca21chr1_C_albicans_SC5314,344710,Ca21chr1_C_albicans_SC5314:344710,4589,
MAY155.GT,Ca21chr1_C_albicans_SC5314,344710,Ca21chr1_C_albicans_SC5314:344710,4589,
MAY156.GT,Ca21chr1_C_albicans_SC5314,344710,Ca21chr1_C_albicans_SC5314:344710,4589,
MAY156.GT,Ca21chr1_C_albicans_SC5314,148517,Ca21chr1_C_albicans_SC5314:148517,4699,
MAY158.GT,Ca21chr1_C_albicans_SC5314,4801,Ca21chr1_C_albicans_SC5314:4801,4801,
MAY155.GT,Ca21chr7_C_albicans_SC5314,917006,Ca21chr7_C_albicans_SC5314:917006,4887,
MAY157.GT,Ca21chr7_C_albicans_SC5314,917006,Ca21chr7_C_albicans_SC5314:917006,4887,
MAY154.GT,Ca21chr7_C_albicans_SC5314,282786,Ca21chr7_C_albicans_SC5314:282786,4889,
MAY158.GT,Ca21chr7_C_albicans_SC5314,282786,Ca21chr7_C_albicans_SC5314:282786,4889,
MAY156.GT,Ca21chr7_C_albicans_SC5314,917006,Ca21chr7_C_albicans_SC5314:917006,4891,
MAY157.GT,Ca21chr3_C_albicans_SC5314,703150,Ca21chr3_C_albicans_SC5314:703150,4899,
MAY158.GT,Ca21chr1_C_albicans_SC5314,148517,Ca21chr1_C_albicans_SC5314:148517,4954,
MAY154.GT,Ca21chr3_C_albicans_SC5314,192879,Ca21chr3_C_albicans_SC5314:192879,4961,
MAY155.GT,Ca21chr3_C_albicans_SC5314,192879,Ca21chr3_C_albicans_SC5314:192879,4961,
MAY156.GT,Ca21chr3_C_albicans_SC5314,192879,Ca21chr3_C_albicans_SC5314:192879,4961,
MAY157.GT,Ca21chr3_C_albicans_SC5314,192879,Ca21chr3_C_albicans_SC5314:192879,4961,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1787281,Ca21chrR_C_albicans_SC5314:1787281,5013,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1787281,Ca21chrR_C_albicans_SC5314:1787281,5013,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1787281,Ca21chrR_C_albicans_SC5314:1787281,5013,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1787281,Ca21chrR_C_albicans_SC5314:1787281,5013,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1249428,Ca21chr1_C_albicans_SC5314:1249428,5047,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1249428,Ca21chr1_C_albicans_SC5314:1249428,5047,
MAY157.GT,Ca21chr6_C_albicans_SC5314,977049,Ca21chr6_C_albicans_SC5314:977049,5048,
MAY158.GT,Ca21chr4_C_albicans_SC5314,693565,Ca21chr4_C_albicans_SC5314:693565,5056,
MAY157.GT,Ca21chr3_C_albicans_SC5314,883394,Ca21chr3_C_albicans_SC5314:883394,5079,
MAY157.GT,Ca21chr4_C_albicans_SC5314,1157678,Ca21chr4_C_albicans_SC5314:1157678,5087,
MAY154.GT,Ca21chr6_C_albicans_SC5314,977120,Ca21chr6_C_albicans_SC5314:977120,5119,
MAY155.GT,Ca21chr6_C_albicans_SC5314,977120,Ca21chr6_C_albicans_SC5314:977120,5119,
MAY156.GT,Ca21chr6_C_albicans_SC5314,977120,Ca21chr6_C_albicans_SC5314:977120,5119,
MAY158.GT,Ca21chr6_C_albicans_SC5314,977120,Ca21chr6_C_albicans_SC5314:977120,5119,
MAY154.GT,Ca21chrR_C_albicans_SC5314,597256,Ca21chrR_C_albicans_SC5314:597256,5147,
MAY155.GT,Ca21chrR_C_albicans_SC5314,597256,Ca21chrR_C_albicans_SC5314:597256,5147,
MAY156.GT,Ca21chrR_C_albicans_SC5314,597256,Ca21chrR_C_albicans_SC5314:597256,5147,
MAY157.GT,Ca21chrR_C_albicans_SC5314,597256,Ca21chrR_C_albicans_SC5314:597256,5147,
MAY158.GT,Ca21chrR_C_albicans_SC5314,597256,Ca21chrR_C_albicans_SC5314:597256,5147,
MAY154.GT,Ca21chrR_C_albicans_SC5314,154914,Ca21chrR_C_albicans_SC5314:154914,5152,
MAY155.GT,Ca21chrR_C_albicans_SC5314,154914,Ca21chrR_C_albicans_SC5314:154914,5152,
MAY156.GT,Ca21chrR_C_albicans_SC5314,154914,Ca21chrR_C_albicans_SC5314:154914,5152,
MAY158.GT,Ca21chrR_C_albicans_SC5314,154914,Ca21chrR_C_albicans_SC5314:154914,5152,
MAY154.GT,Ca21chrR_C_albicans_SC5314,733405,Ca21chrR_C_albicans_SC5314:733405,5157,
MAY155.GT,Ca21chrR_C_albicans_SC5314,733405,Ca21chrR_C_albicans_SC5314:733405,5157,
MAY156.GT,Ca21chrR_C_albicans_SC5314,733405,Ca21chrR_C_albicans_SC5314:733405,5157,
MAY158.GT,Ca21chrR_C_albicans_SC5314,733405,Ca21chrR_C_albicans_SC5314:733405,5157,
MAY155.GT,Ca21chr2_C_albicans_SC5314,933697,Ca21chr2_C_albicans_SC5314:933697,5174,
MAY158.GT,Ca21chr2_C_albicans_SC5314,347972,Ca21chr2_C_albicans_SC5314:347972,5226,
MAY156.GT,Ca21chr3_C_albicans_SC5314,883394,Ca21chr3_C_albicans_SC5314:883394,5269,
MAY154.GT,Ca21chr1_C_albicans_SC5314,1318516,Ca21chr1_C_albicans_SC5314:1318516,5270,
MAY155.GT,Ca21chr1_C_albicans_SC5314,1318516,Ca21chr1_C_albicans_SC5314:1318516,5270,
MAY156.GT,Ca21chr1_C_albicans_SC5314,1318516,Ca21chr1_C_albicans_SC5314:1318516,5270,
MAY158.GT,Ca21chr1_C_albicans_SC5314,1318516,Ca21chr1_C_albicans_SC5314:1318516,5270,
MAY158.GT,Ca21chrR_C_albicans_SC5314,728130,Ca21chrR_C_albicans_SC5314:728130,5300,
MAY157.GT,Ca21chr1_C_albicans_SC5314,1661509,Ca21chr1_C_albicans_SC5314:1661509,5305,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1133982,Ca21chrR_C_albicans_SC5314:1133982,5374,
MAY157.GT,Ca21chr6_C_albicans_SC5314,1002074,Ca21chr6_C_albicans_SC5314:1002074,5459,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2286612,Ca21chr1_C_albicans_SC5314:2286612,5471,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1026633,Ca21chrR_C_albicans_SC5314:1026633,5490,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1026633,Ca21chrR_C_albicans_SC5314:1026633,5490,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1026633,Ca21chrR_C_albicans_SC5314:1026633,5490,
MAY154.GT,Ca21chr3_C_albicans_SC5314,355834,Ca21chr3_C_albicans_SC5314:355834,5559,
MAY155.GT,Ca21chr3_C_albicans_SC5314,355834,Ca21chr3_C_albicans_SC5314:355834,5559,
MAY154.GT,Ca21chr1_C_albicans_SC5314,237840,Ca21chr1_C_albicans_SC5314:237840,5625,
MAY154.GT,Ca21chr2_C_albicans_SC5314,2077087,Ca21chr2_C_albicans_SC5314:2077087,5637,
MAY155.GT,Ca21chr2_C_albicans_SC5314,2077087,Ca21chr2_C_albicans_SC5314:2077087,5637,
MAY157.GT,Ca21chr1_C_albicans_SC5314,2218601,Ca21chr1_C_albicans_SC5314:2218601,5644,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1484478,Ca21chrR_C_albicans_SC5314:1484478,5686,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1484478,Ca21chrR_C_albicans_SC5314:1484478,5686,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1484478,Ca21chrR_C_albicans_SC5314:1484478,5686,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1484478,Ca21chrR_C_albicans_SC5314:1484478,5686,
MAY158.GT,Ca21chrR_C_albicans_SC5314,721031,Ca21chrR_C_albicans_SC5314:721031,5687,
MAY154.GT,Ca21chr6_C_albicans_SC5314,200108,Ca21chr6_C_albicans_SC5314:200108,5694,
MAY155.GT,Ca21chr6_C_albicans_SC5314,200108,Ca21chr6_C_albicans_SC5314:200108,5694,
MAY156.GT,Ca21chr6_C_albicans_SC5314,200108,Ca21chr6_C_albicans_SC5314:200108,5694,
MAY158.GT,Ca21chr6_C_albicans_SC5314,200108,Ca21chr6_C_albicans_SC5314:200108,5694,
MAY157.GT,Ca21chr2_C_albicans_SC5314,908171,Ca21chr2_C_albicans_SC5314:908171,5746,
MAY157.GT,Ca21chr4_C_albicans_SC5314,315519,Ca21chr4_C_albicans_SC5314:315519,5777,
MAY158.GT,Ca21chr4_C_albicans_SC5314,315519,Ca21chr4_C_albicans_SC5314:315519,5777,
MAY158.GT,Ca21chr1_C_albicans_SC5314,2054642,Ca21chr1_C_albicans_SC5314:2054642,5853,
MAY156.GT,Ca21chr7_C_albicans_SC5314,567800,Ca21chr7_C_albicans_SC5314:567800,5866,
MAY157.GT,Ca21chr7_C_albicans_SC5314,567800,Ca21chr7_C_albicans_SC5314:567800,5866,
MAY158.GT,Ca21chr7_C_albicans_SC5314,567800,Ca21chr7_C_albicans_SC5314:567800,5866,
MAY157.GT,Ca21chr1_C_albicans_SC5314,163810,Ca21chr1_C_albicans_SC5314:163810,5934,
MAY154.GT,Ca21chr3_C_albicans_SC5314,576201,Ca21chr3_C_albicans_SC5314:576201,6046,
MAY155.GT,Ca21chr3_C_albicans_SC5314,576201,Ca21chr3_C_albicans_SC5314:576201,6046,
MAY156.GT,Ca21chr3_C_albicans_SC5314,576201,Ca21chr3_C_albicans_SC5314:576201,6046,
MAY154.GT,Ca21chr1_C_albicans_SC5314,3037961,Ca21chr1_C_albicans_SC5314:3037961,6057,
MAY156.GT,Ca21chr7_C_albicans_SC5314,292374,Ca21chr7_C_albicans_SC5314:292374,6062,
MAY155.GT,Ca21chr2_C_albicans_SC5314,991226,Ca21chr2_C_albicans_SC5314:991226,6076,
MAY158.GT,Ca21chr1_C_albicans_SC5314,3037961,Ca21chr1_C_albicans_SC5314:3037961,6081,
MAY155.GT,Ca21chr1_C_albicans_SC5314,238370,Ca21chr1_C_albicans_SC5314:238370,6155,
MAY156.GT,Ca21chr1_C_albicans_SC5314,238370,Ca21chr1_C_albicans_SC5314:238370,6155,
MAY158.GT,Ca21chr1_C_albicans_SC5314,238370,Ca21chr1_C_albicans_SC5314:238370,6155,
MAY158.GT,Ca21chr2_C_albicans_SC5314,924240,Ca21chr2_C_albicans_SC5314:924240,6240,
MAY154.GT,Ca21chr3_C_albicans_SC5314,767565,Ca21chr3_C_albicans_SC5314:767565,6285,
MAY155.GT,Ca21chr3_C_albicans_SC5314,767565,Ca21chr3_C_albicans_SC5314:767565,6285,
MAY156.GT,Ca21chr3_C_albicans_SC5314,767565,Ca21chr3_C_albicans_SC5314:767565,6285,
MAY157.GT,Ca21chr3_C_albicans_SC5314,767565,Ca21chr3_C_albicans_SC5314:767565,6285,
MAY155.GT,Ca21chrR_C_albicans_SC5314,2049049,Ca21chrR_C_albicans_SC5314:2049049,6301,
MAY155.GT,Ca21chr7_C_albicans_SC5314,777450,Ca21chr7_C_albicans_SC5314:777450,6400,
MAY157.GT,Ca21chrR_C_albicans_SC5314,500312,Ca21chrR_C_albicans_SC5314:500312,6438,
MAY158.GT,Ca21chr2_C_albicans_SC5314,1323199,Ca21chr2_C_albicans_SC5314:1323199,6479,
MAY154.GT,Ca21chrR_C_albicans_SC5314,1412770,Ca21chrR_C_albicans_SC5314:1412770,6574,
MAY155.GT,Ca21chrR_C_albicans_SC5314,1412770,Ca21chrR_C_albicans_SC5314:1412770,6574,
MAY156.GT,Ca21chrR_C_albicans_SC5314,1412770,Ca21chrR_C_albicans_SC5314:1412770,6574,
MAY158.GT,Ca21chrR_C_albicans_SC5314,1412770,Ca21chrR_C_albicans_SC5314:1412770,6574,
MAY157.GT,Ca21chrR_C_albicans_SC5314,1191109,Ca21chrR_C_albicans_SC5314:1191109,6647,
MAY156.GT,Ca21chr7_C_albicans_SC5314,299897,Ca21chr7_C_albicans_SC5314:299897,6661,
MAY158.GT,Ca21chr2_C_albicans_SC5314,810854,Ca21chr2_C_albicans_SC5314:810854,6679,
MAY154.GT,Ca21chr6_C_albicans_SC5314,214685,Ca21chr6_C_albicans_SC5314:214685,6735,
MAY154.GT,Ca21chr3_C_albicans_SC5314,587289,Ca21chr3_C_albicans_SC5314:587289,6740,
MAY155.GT,Ca21chr3_C_albicans_SC5314,587289,Ca21chr3_C_albicans_SC5314:587289,6740,
MAY156.GT,Ca21chr3_C_albicans_SC5314,587289,Ca21chr3_C_albicans_SC5314:587289,6740,
